ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipa-miento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
1975-12,5.695516966419e-10,,,,,,,,,,,,,,,,,
1976-01,6.2023890883303e-10,,,,,,,,,,,,,,,,,
1976-02,7.3799275917708e-10,,,,,,,,,,,,,,,,,
1976-03,1.01526467013515e-09,,,,,,,,,,,,,,,,,
1976-04,1.35967290545211e-09,,,,,,,,,,,,,,,,,
1976-05,1.52408483825931e-09,,,,,,,,,,,,,,,,,
1976-06,1.56572234633658e-09,,,,,,,,,,,,,,,,,
1976-07,1.63211429531335e-09,,,,,,,,,,,,,,,,,
1976-08,1.72212036545527e-09,,,,,,,,,,,,,,,,,
1976-09,1.90390633643698e-09,,,,,,,,,,,,,,,,,
1976-10,2.06497649891162e-09,,,,,,,,,,,,,,,,,
1976-11,2.22921421620386e-09,,,,,,,,,,,,,,,,,
1976-12,2.54902638836221e-09,,,,,,,,,,,,,,,,,
1977-01,2.75377713177147e-09,,,,,,,,,,,,,,,,,
1977-02,2.98109670325608e-09,,,,,,,,,,,,,,,,,
1977-03,3.20605644640159e-09,,,,,,,,,,,,,,,,,
1977-04,3.39877048150399e-09,3.17762763748991e-09,,8.73593969734959e-09,3.19706263449333e-09,3.3180024471261e-09,2.71559262940804e-09,4.69305843665767e-09,,,,,3.45940246476181e-09,,,,,
1977-05,3.61954905229028e-09,3.38470571207622e-09,,9.13170350242684e-09,3.70600313487529e-09,3.49668781568071e-09,2.7230571501046e-09,4.8297494590846e-09,,,,,3.53851561884161e-09,,,,,
1977-06,3.8963458300257e-09,3.71865556475414e-09,,9.49104732544179e-09,3.85440261541719e-09,3.78320056181138e-09,3.02462378624557e-09,4.93859601398011e-09,,,,,3.70932811060479e-09,,,,,
1977-07,4.1827878121807e-09,3.9461497875391e-09,,9.97907508507693e-09,4.39421817550922e-09,4.09203357510029e-09,3.28737491476444e-09,5.04491125364549e-09,,,,,4.13546032689822e-09,,,,,
1977-08,4.65701828169675e-09,4.33697319591326e-09,,1.07390387107774e-08,5.15912288058426e-09,4.54492396483081e-09,3.57699831779092e-09,6.32575676009036e-09,,,,,4.41954847109384e-09,,,,,
1977-09,5.04341245612092e-09,4.70446386348899e-09,,1.15645583041901e-08,5.47285332602519e-09,4.97929885344041e-09,3.97112501056922e-09,6.50294882619933e-09,,,,,5.14415304141556e-09,,,,,
1977-10,5.67350246043666e-09,5.26736623525177e-09,,1.38517331777041e-08,6.13816106429359e-09,5.50073664748715e-09,4.30328125252468e-09,7.75341854988269e-09,,,,,5.63141814949792e-09,,,,,
1977-11,6.18629790985694e-09,5.74422912532024e-09,,1.52308364984641e-08,6.6201904642444e-09,6.10302957080481e-09,4.77206808130996e-09,8.11792794302114e-09,,,,,6.48727863454297e-09,,,,,
1977-12,6.63856138671293e-09,6.03297179270115e-09,,1.61146280631765e-08,7.19090100343983e-09,6.61597980984521e-09,5.23783924373383e-09,9.45446238452879e-09,,,,,6.84238881478744e-09,,,,,
1978-01,7.52531835789834e-09,6.63524816456133e-09,,1.6670639789328e-08,9.06531591874092e-09,7.46319491937141e-09,5.94474428273933e-09,1.17858037114768e-08,,,,,7.70184535229064e-09,,,,,
1978-02,7.99221593801162e-09,7.03336305443498e-09,,1.73868994365537e-08,9.35414712248021e-09,7.99694043837286e-09,6.44337426526945e-09,1.22996607031929e-08,,,,,8.54601866684665e-09,,,,,
1978-03,8.75084531682534e-09,7.70417935239065e-09,,1.8581474848198e-08,9.8640835925302e-09,8.70012897927958e-09,7.28537219984126e-09,1.30868997397627e-08,,,,,9.5637015125094e-09,,,,,
1978-04,9.71995871326814e-09,8.66811320662691e-09,,2.1793717266095e-08,1.07246013857396e-08,9.56274799988804e-09,7.9527003501136e-09,1.42095380443246e-08,,,,,1.05957685680049e-08,,,,,
1978-05,1.05647455831204e-08,9.49788380127208e-09,,2.33646324923833e-08,1.13221831865795e-08,1.07010970288696e-08,8.69019499493361e-09,1.53663491044932e-08,,,,,1.1600865230064e-08,,,,,
1978-06,1.12505212011295e-08,1.0057869580435e-08,,2.44038159805616e-08,1.19098052907387e-08,1.13881114631399e-08,9.57100843712749e-09,1.62206679946615e-08,,,,,1.26976612298066e-08,,,,,
1978-07,1.19928376726325e-08,1.0466192544408e-08,,2.56493793670931e-08,1.32702998573175e-08,1.21998975771767e-08,1.02114643128923e-08,1.75091074467967e-08,,,,,1.40569690589958e-08,,,,,
1978-08,1.29291668767132e-08,1.14257515097446e-08,,2.70017747010074e-08,1.41826080732664e-08,1.30193856467548e-08,1.09340299163191e-08,1.84532880276345e-08,,,,,1.51627551898837e-08,,,,,
1978-09,1.37555819286234e-08,1.22073983264929e-08,,2.88057778124946e-08,1.49634482930305e-08,1.39436203116924e-08,1.17491555763834e-08,1.94911272719871e-08,,,,,1.61318913273612e-08,,,,,
1978-10,1.50976749048379e-08,1.35300730705055e-08,,3.37977433538372e-08,1.60311277771977e-08,1.49448745320415e-08,1.25642812364476e-08,2.13187368681396e-08,,,,,1.74732188942595e-08,,,,,
1978-11,1.64253555066323e-08,1.48862886294158e-08,,3.82385531666366e-08,1.73975981617849e-08,1.58952958458191e-08,1.34868959945422e-08,2.23996084714044e-08,,,,,1.85700148940021e-08,,,,,
1978-12,1.79137895154196e-08,1.62789615958237e-08,,4.06374159851415e-08,1.90608675074559e-08,1.70921797369133e-08,1.4515506946528e-08,2.49714247452147e-08,,,,,2.03123023099866e-08,,,,,
1979-01,2.02015559824267e-08,1.87974393057572e-08,,4.2397715118154e-08,2.17260823392017e-08,1.86664594495237e-08,1.60069181817004e-08,2.75989299540877e-08,,,,,2.2887075870038e-08,,,,,
1979-02,2.17051942543384e-08,2.02790683464593e-08,,4.53550176616148e-08,2.28953507295118e-08,2.00327863625232e-08,1.79462006586663e-08,2.91227817226249e-08,,,,,2.4305718564787e-08,,,,,
1979-03,2.33873242402216e-08,2.16396587942693e-08,,5.02037312735125e-08,2.46502492846449e-08,2.17364589282249e-08,1.95839164994913e-08,3.12997128205351e-08,,,,,2.59005678299865e-08,,,,,
1979-04,2.50247917031767e-08,2.27202563524979e-08,,5.85050591849183e-08,2.70047215799539e-08,2.36742709423775e-08,2.13530079045757e-08,3.29805061333402e-08,,,,,2.81921522589568e-08,,,,,
1979-05,2.6756652299696e-08,2.42981329489936e-08,,6.18022815609606e-08,2.92914679378346e-08,2.54857708856553e-08,2.31026915558491e-08,3.46967378593672e-08,,,,,2.99497228978885e-08,,,,,
1979-06,2.93507213175645e-08,2.71082699189078e-08,,6.45095002275932e-08,3.111210049106e-08,2.75560565351155e-08,2.53375690523988e-08,3.83747388887434e-08,,,,,3.19131675400507e-08,,,,,
1979-07,3.14498598951838e-08,2.87794774785973e-08,,6.69059350472943e-08,3.43131470042257e-08,2.95585649758137e-08,2.7575432357227e-08,4.05415447257332e-08,,,,,3.52305259327146e-08,,,,,
