ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
1965-10,1.078937273301e-11,,,,,,,,,,,,,,,,,
1965-11,1.11790928399927e-11,,,,,,,,,,,,,,,,,
1965-12,1.20919504628751e-11,,,,,,,,,,,,,,,,,
1966-01,1.181809951112e-11,,,,,,,,,,,,,,,,,
1966-02,1.20779181950331e-11,,,,,,,,,,,,,,,,,
1966-03,1.23412370270196e-11,,,,,,,,,,,,,,,,,
1966-04,1.25975555628594e-11,,,,,,,,,,,,,,,,,
1966-05,1.27274569859289e-11,,,,,,,,,,,,,,,,,
1966-06,1.28362941694614e-11,,,,,,,,,,,,,,,,,
1966-07,1.30399362686845e-11,,,,,,,,,,,,,,,,,
1966-08,1.3190901931291e-11,,,,,,,,,,,,,,,,,
1966-09,1.33910438824406e-11,,,,,,,,,,,,,,,,,
1966-10,1.38193923204239e-11,,,,,,,,,,,,,,,,,
1966-11,1.4142403722948e-11,,,,,,,,,,,,,,,,,
1966-12,1.5711816270647e-11,,,,,,,,,,,,,,,,,
1967-01,1.49744570224335e-11,,,,,,,,,,,,,,,,,
1967-02,1.52940633035287e-11,,,,,,,,,,,,,,,,,
1967-03,1.56310911361207e-11,,,,,,,,,,,,,,,,,
1967-04,1.58206692919537e-11,,,,,,,,,,,,,,,,,
1967-05,1.5971603279012e-11,,,,,,,,,,,,,,,,,
1967-06,1.66668815614738e-11,,,,,,,,,,,,,,,,,
1967-07,1.74989982120557e-11,,,,,,,,,,,,,,,,,
1967-08,1.75585482426265e-11,,,,,,,,,,,,,,,,,
1967-09,1.76393208904751e-11,,,,,,,,,,,,,,,,,
1967-10,1.81450210171039e-11,,,,,,,,,,,,,,,,,
1967-11,1.85628214975446e-11,,,,,,,,,,,,,,,,,
1967-12,2.00092854049988e-11,,,,,,,,,,,,,,,,,
1968-01,1.93211341208765e-11,,,,,,,,,,,,,,,,,
1968-02,1.95107122767095e-11,,,,,,,,,,,,,,,,,
1968-03,1.93843268394875e-11,,,,,,,,,,,,,,,,,
1968-04,1.93035541916389e-11,,,,,,,,,,,,,,,,,
1968-05,1.93246184311759e-11,,,,,,,,,,,,,,,,,
1968-06,1.9391612215568e-11,,,,,,,,,,,,,,,,,
1968-07,1.93808425291881e-11,,,,,,,,,,,,,,,,,
1968-08,1.94125180773641e-11,,,,,,,,,,,,,,,,,
1968-09,1.96828688810457e-11,,,,,,,,,,,,,,,,,
1968-10,2.00689938133104e-11,,,,,,,,,,,,,,,,,
1968-11,2.01356708422207e-11,,,,,,,,,,,,,,,,,
1968-12,2.19228052703071e-11,,,,,,,,,,,,,,,,,
1969-01,2.09115633947903e-11,,,,,,,,,,,,,,,,,
1969-02,2.06307596602106e-11,,,,,,,,,,,,,,,,,
1969-03,2.08624662951176e-11,,,,,,,,,,,,,,,,,
1969-04,2.08835305346546e-11,,,,,,,,,,,,,,,,,
1969-05,2.05955998017354e-11,,,,,,,,,,,,,,,,,
1969-06,2.07992735765066e-11,,,,,,,,,,,,,,,,,
1969-07,2.10765930007869e-11,,,,,,,,,,,,,,,,,
1969-08,2.09186903931299e-11,,,,,,,,,,,,,,,,,
1969-09,2.13084580134348e-11,,,,,,,,,,,,,,,,,
1969-10,2.16313902270885e-11,,,,,,,,,,,,,,,,,
1969-11,2.17858085244462e-11,,,,,,,,,,,,,,,,,
1969-12,2.33833647966996e-11,,,,,,,,,,,,,,,,,
1970-01,2.22808973424361e-11,,,,,,,,,,,,,,,,,
1970-02,2.25829236942936e-11,,,,,,,,,,,,,,,,,
1970-03,2.28743387375123e-11,,,,,,,,,,,,,,,,,
1970-04,2.3049821274407e-11,,,,,,,,,,,,,,,,,
1970-05,2.32202357235935e-11,,,,,,,,,,,,,,,,,
1970-06,2.33904917950392e-11,,,,,,,,,,,,,,,,,
1970-07,2.36782641502176e-11,,,,,,,,,,,,,,,,,
1970-08,2.39451306435998e-11,,,,,,,,,,,,,,,,,
1970-09,2.4433250840991e-11,,,,,,,,,,,,,,,,,
1970-10,2.5402205859693e-11,,,,,,,,,,,,,,,,,
1970-11,2.60588399733802e-11,,,,,,,,,,,,,,,,,
1970-12,2.84674486566784e-11,,,,,,,,,,,,,,,,,
1971-01,2.83866760088298e-11,,,,,,,,,,,,,,,,,
1971-02,2.93345667879947e-11,,,,,,,,,,,,,,,,,
1971-03,2.96435617604509e-11,,,,,,,,,,,,,,,,,
1971-04,2.99104282538332e-11,,,,,,,,,,,,,,,,,
1971-05,3.06372237067301e-11,,,,,,,,,,,,,,,,,
1971-06,3.15922414842347e-11,,,,,,,,,,,,,,,,,
1971-07,3.29509641232415e-11,,,,,,,,,,,,,,,,,
