ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
1965-10,2.18044929590432e-12,,,,,,,,,,,,,,,,,
1965-11,2.25920873390855e-12,,,,,,,,,,,,,,,,,
1965-12,2.44369024273482e-12,,,,,,,,,,,,,,,,,
1966-01,2.3883470703639e-12,,,,,,,,,,,,,,,,,
1966-02,2.44085442926419e-12,,,,,,,,,,,,,,,,,
1966-03,2.49406914118593e-12,,,,,,,,,,,,,,,,,
1966-04,2.54586914706477e-12,,,,,,,,,,,,,,,,,
1966-05,2.57212122616871e-12,,,,,,,,,,,,,,,,,
1966-06,2.5941163843743e-12,,,,,,,,,,,,,,,,,
1966-07,2.63527088731487e-12,,,,,,,,,,,,,,,,,
1966-08,2.66577988731716e-12,,,,,,,,,,,,,,,,,
1966-09,2.70622703723627e-12,,,,,,,,,,,,,,,,,
1966-10,2.79279296401574e-12,,,,,,,,,,,,,,,,,
1966-11,2.85807108561107e-12,,,,,,,,,,,,,,,,,
1966-12,3.17523729807717e-12,,,,,,,,,,,,,,,,,
1967-01,3.02622266178819e-12,,,,,,,,,,,,,,,,,
1967-02,3.09081263451649e-12,,,,,,,,,,,,,,,,,
1967-03,3.15892336889006e-12,,,,,,,,,,,,,,,,,
1967-04,3.19723565697517e-12,,,,,,,,,,,,,,,,,
1967-05,3.22773825559266e-12,,,,,,,,,,,,,,,,,
1967-06,3.36824865216216e-12,,,,,,,,,,,,,,,,,
1967-07,3.5364130311089e-12,,,,,,,,,,,,,,,,,
1967-08,3.54844763455085e-12,,,,,,,,,,,,,,,,,
1967-09,3.56477116581518e-12,,,,,,,,,,,,,,,,,
1967-10,3.66696927429956e-12,,,,,,,,,,,,,,,,,
1967-11,3.75140353993746e-12,,,,,,,,,,,,,,,,,
