ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
1965-10,1.04484489509454e-11,,,,,,,,,,,,,,,,,
1965-11,1.08258546392768e-11,,,,,,,,,,,,,,,,,
1965-12,1.17098676869479e-11,,,,,,,,,,,,,,,,,
1966-01,1.14446699075787e-11,,,,,,,,,,,,,,,,,
1966-02,1.1696278812243e-11,,,,,,,,,,,,,,,,,
1966-03,1.19512772669184e-11,,,,,,,,,,,,,,,,,
1966-04,1.21994966215718e-11,,,,,,,,,,,,,,,,,
1966-05,1.23252934052387e-11,,,,,,,,,,,,,,,,,
1966-06,1.24306915395181e-11,,,,,,,,,,,,,,,,,
1966-07,1.26278989333721e-11,,,,,,,,,,,,,,,,,
1966-08,1.27740943664267e-11,,,,,,,,,,,,,,,,,
1966-09,1.29679122102696e-11,,,,,,,,,,,,,,,,,
1966-10,1.33827256473652e-11,,,,,,,,,,,,,,,,,
1966-11,1.36955305001923e-11,,,,,,,,,,,,,,,,,
1966-12,1.52153525782115e-11,,,,,,,,,,,,,,,,,
1967-01,1.45012924883329e-11,,,,,,,,,,,,,,,,,
1967-02,1.48107998151313e-11,,,,,,,,,,,,,,,,,
1967-03,1.51371782053329e-11,,,,,,,,,,,,,,,,,
1967-04,1.53207660498213e-11,,,,,,,,,,,,,,,,,
1967-05,1.54669308082152e-11,,,,,,,,,,,,,,,,,
1967-06,1.61402396113096e-11,,,,,,,,,,,,,,,,,
1967-07,1.69460629487717e-11,,,,,,,,,,,,,,,,,
1967-08,1.70037313109502e-11,,,,,,,,,,,,,,,,,
1967-09,1.70819516958199e-11,,,,,,,,,,,,,,,,,
1967-10,1.7571672654426e-11,,,,,,,,,,,,,,,,,
1967-11,1.79762714294974e-11,,,,,,,,,,,,,,,,,
1967-12,1.93770298118806e-11,,,,,,,,,,,,,,,,,
1968-01,1.8710622807451e-11,,,,,,,,,,,,,,,,,
1968-02,1.88942106519395e-11,,,,,,,,,,,,,,,,,
1968-03,1.87718187556138e-11,,,,,,,,,,,,,,,,,
1968-04,1.86935983707441e-11,,,,,,,,,,,,,,,,,
1968-05,1.87139970201317e-11,,,,,,,,,,,,,,,,,
1968-06,1.87788739275825e-11,,,,,,,,,,,,,,,,,
1968-07,1.87684445429332e-11,,,,,,,,,,,,,,,,,
1968-08,1.87991192036664e-11,,,,,,,,,,,,,,,,,
1968-09,1.90609274330246e-11,,,,,,,,,,,,,,,,,
1968-10,1.94348515473627e-11,,,,,,,,,,,,,,,,,
1968-11,1.94994217082061e-11,,,,,,,,,,,,,,,,,
1968-12,2.12300860667752e-11,,,,,,,,,,,,,,,,,
1969-01,2.02507975228667e-11,,,,,,,,,,,,,,,,,
1969-02,1.99788666554666e-11,,,,,,,,,,,,,,,,,
1969-03,2.02032517987302e-11,,,,,,,,,,,,,,,,,
1969-04,2.02236504481178e-11,,,,,,,,,,,,,,,,,
1969-05,1.99448177820527e-11,,,,,,,,,,,,,,,,,
1969-06,2.01420558505674e-11,,,,,,,,,,,,,,,,,
